symposium（名詞）,シンポジウム、討論会
evolutionary（形容詞）,進化の、進化論による、発展の
fictional（形容詞）,架空の、作り事の、小説的な、虚構の
geological（形容詞）,地質学（上）の（限定用法が多い）
lyrical（形容詞）,詩的な、叙情的な、熱烈な
notional（形容詞）,概念の、抽象的な、想像上の、名目上の、非現実的な
optical（形容詞）,視覚［視覚］の、光学（上）の、視力を助ける（限定用法が多い）
orchestral（形容詞）,オーケストラ（用）の（限定用法が多い）
phonetic（形容詞）,音声（学）の、音声を表す（限定用法が多い）
scholarly（形容詞）,学術的な、学者の、学者らしい、学識のある
secular（形容詞）,世俗の、世俗的な、非宗教的な、修道院外の
secular（名詞）,俗人
surgical（形容詞）,外科の、外科手術の、外科用の、（攻撃が）局所の（限定用法）
tutorial（形容詞）,家庭教師の［に関する］、個人指導の
tutorial（名詞）,個別指導時間、個別指導書
utopian（形容詞）,ユートピアの、理想上の、非現実的な、夢物語の
agonizing（形容詞）,苦しい、苦悶させる、苦痛を与える
awesome（形容詞）,畏敬の念を起こさせる、素晴らしい、恐ろしい、すごい
cheery（形容詞）,上機嫌の、活気づける、陽気な
complacent（形容詞）,悦に入った、愛想のよい、無関心な、自己満足の
conceited（形容詞）,うぬぼれた、思い上がった
contemptuous（形容詞）,軽蔑を示す、さげすんだ、軽蔑して
damned（形容詞）,のろわれた、いまいましい、ひどい、非難された
damned（副詞）,ひどく、全く
desirous（形容詞）,望む、切望している（叙述用法）
dubious（形容詞）,怪しい、疑う、半信半疑の、あいまいな
ecstatic（形容詞）,われを忘れた、恍惚とした、熱狂的な、有頂天の
foreseeable（形容詞）,予知できる、予見できる
hospitable（形容詞）,温かく［親切に］もてなす、（環境・天気などが）快適な、適した
intuitive（形容詞）,直感的に認識する、直感力のある、（ソフトウエアなどが）使いやすい（限定用法が多い）
platonic（形容詞）,観念的な、プラトニックな、精神的恋愛の、（Platonic で）プラトンの
puzzling（形容詞）,不可解な、困惑させる、まごつかせる
radiant（形容詞）,晴れやかな、うれしそうな、光［熱］を放つ（限定用法）
radiant（名詞）,光点
retrospective（形容詞）,回顧的な、追想にふける、回想の（限定用法が多い）
retrospective（名詞）,回顧展
sensory（形容詞）,知覚の［に関する］、感覚の（限定用法が多い）
speechless（形容詞）,強い感情でものが言えない、口が利けない、言葉で表せないほどの、無言の
stirring（形容詞）,感動的な、奮起させる、活発な（限定用法が多い）
stirring（名詞）,（感情などの）揺れ動き、動揺
subdued（形容詞）,落ち着いた、沈んだ、無口な、活気のない、征服された
unintentional（形容詞）,故意でない、何気ない、うかつな
unloved（形容詞）,愛されていない、好かれていない
unnoticed（形容詞）,気付かれない、注目されない、省みられない（叙述用法が多い）
unwelcome（形容詞）,歓迎されない、気に食わない、ありがたくない
angelic（形容詞）,天使のような、天使の、無垢な（限定用法）
automotive（形容詞）,自動車の、自動（推進）の
circumstantial（形容詞）,状況の、付随的な、重要でない、詳細な
compulsive（形容詞）,強制的な、何かにとりつかれたような、人の心をとらえて離さない
connected（形容詞）,結合［接続］した、関連した、筋の通った、（通常複合語で）縁故［コネ］がある
crimson（形容詞）,深紅色の、紅潮した、血なまぐさい
crimson（名詞）,深紅色
devoid（形容詞）,欠いている、全くない（叙述用法）
erroneous（形容詞）,間違った、誤りのある、誤った
fishy（形容詞）,魚の、魚くさい、魚の多い、疑わしい、うさんくさい
floating（形容詞）,浮いている、（うわさなどが）広まっている、流動的な、変動する
fragrant（形容詞）,よいにおい［香り］の、芳香性の、楽しい
grotesque（形容詞）,奇怪な、グロテスクな、異様な、風変わりな
handmade（形容詞）,手作りの、手製の
insecure（形容詞）,不安な、安全でない、心もとない、不安定な
jointed（形容詞）,継ぎ目のある、継ぎ目が動く、節でできた、（チキンが）小さく切った
lifelike（形容詞）,生きているような、実物そっくりな、生き写しの、真に迫った
loaded（形容詞）,弾薬を込めた、（荷物などを）詰め込んだ、フィルムを装てんした、わなにかけるような
occidental（形容詞）,（通常 Occidental で）西洋（人）の、西洋風の、西方の
occidental（名詞）,（通常 Occidental で）西洋人
packed（形容詞）,人でいっぱいの、すし詰めの、荷造りした、ひとまとめにした
polished（形容詞）,磨き上げた、光沢［つや］のある、洗練された、上品な
precarious（形容詞）,不安定な、いい加減な、運次第の、危険な
radioactive（形容詞）,放射能をもった、放射能による、放射性の
reproductive（形容詞）,再生の、繁殖の、生殖の、複写の（限定用法が多い）
seeming（形容詞）,うわべの、外見だけの、見せ掛けの（限定用法）
seeming（名詞）,うわべ、見せ掛け
shaped（形容詞）,（しばしば複合語で）…の形をした、…の体型をした、（髪が）まとまった
silvery（形容詞）,銀の（ような）、銀鈴を鳴らすような、銀を含有する、銀で飾った（限定用法が多い）
sinister（形容詞）,邪悪な、悪意のある、不気味な、不吉な、運［縁起］の悪い
slack（形容詞）,緩い、不注意な、怠慢な
slack（名詞）,緩い部分、停滞、不況
slack（自動詞）,緩む、たるむ
specialized（形容詞）,特殊化した、専門化した、分化した
sturdy（形容詞）,頑丈な、不屈の、丈夫な、勇敢な
suggestive（形容詞）,連想させる、示唆に富む、挑発的な、思わせぶりな
sunken（形容詞）,沈んだ、水中の、下がった、落ち込んだ
swollen（形容詞）,はれ上がった、膨れた、増水した、誇張した
synthetic（形容詞）,合成の、統合的な、作り事の、本物でない
synthetic（名詞）,合成品［物質］、模造品
tasteless（形容詞）,味のない、まずい、趣味の悪い、退屈な
thermal（形容詞）,熱の、温度の、温泉の、体温を保つ、保温用の（限定用法が多い）
thunderous（形容詞）,雷のような、とどろき渡る、途方もない、非常に怒った
turbulent（形容詞）,荒れ狂う、乱暴な、動揺した、混乱した
undone（形容詞）,未完成の、ほどけた、破滅した、落ちぶれた（叙述用法）
wanting（形容詞）,欠けている、足りない（叙述用法）
watertight（形容詞）,水を通さない、防水の、（議論などが）すきのない
watery（形容詞）,淡い、水の（多い）、じめじめした、迫力のない、水色の
yielding（形容詞）,柔軟な、譲歩しやすい、従順な、豊かな
ceaseless（形容詞）,絶え間ない、不断の
instantaneous（形容詞）,瞬間的な、即座の、同時の
overdue（形容詞）,（しばしば long overdue で）期日［定刻］を過ぎた、出産予定日を過ぎた、過度の
periodic（形容詞）,定期的な、周期的な、断続的な、時々の（限定用法）
populous（形容詞）,人口の多い、数が多い、混雑している
premature（形容詞）,早過ぎる、時期尚早の、早まった、早産の
premature（名詞）,未熟児
temporal（形容詞）,①時間の、現世の、世俗の、一時の、つかの間の（限定用法が多い） ②側頭部の
transitional（形容詞）,暫定の、過渡的な、移り変わる（限定用法）
treble（形容詞）,①3倍の ②高音の、ソプラノの
treble（他動詞）,…を3倍にする
